data_doi,data_publisher,data_title,data_publication_year,data_authors,relation_type,pub_doi,pub_title,pub_date,pub_authors,pub_type,pub_publisher,source_id
10.5285/8baf805d-39ce-4dac-b224-c926ada353b7,Environmental Information Data Centre (EIDC),Climate hydrology and ecology research support system potential evapotranspiration dataset for Great Britain (1961-2015) [CHESS-PE],2016.0,"['Robinson, E.L.', 'Blyth, E.', 'Clark, D.B.', 'Comyn-Platt, E.', 'Finch, J.', 'Rudd, A.C.']",references,https://www.gov.uk/government/publications/meeting-our-future-water-needs-a-national-framework-for-water-resources,Meeting our future water needs: a national framework for water resources,2020-03-16,['Environment Agency'],Publication,The UK Government,overton
10.5285/2a353d2d-c1b9-4bf7-8702-9e78910844bc,Environmental Information Data Centre (EIDC),"The Pantheon database: habitat related traits, conservation status and taxa associations for invertebrates in England",2017.0,"['Webb, J.', 'Heaver, D.', 'Lott, D.', 'Dean, H.J.', 'van Breda, J.', 'Curson, J.', 'Harvey, M.C.', 'Gurney, M.', 'Roy, D.B.', 'van Breda, A.', 'Drake, M.', 'Alexander, K.N.A.', 'Foster, G.']",references,https://www.crew.ac.uk/publication/moderating-extremes-water-availability-review-role-functioning-wetlands,Moderating extremes in water availability: a review of the role of functioning wetlands | CREW | Scotland's Centre of Expertise for Waters,2022-03-02,['Center of Expertise for Waters'],Publication,Center of Expertise for Waters,overton
10.5285/9c87edc2-a9be-4d4c-ae86-827bfeecd20c,Environmental Information Data Centre (EIDC),"Ammonia measurements from passive samplers at Ballynahone Bog field site, Northern Ireland (2018)",2019.0,"['Tang, S.', 'Stephens, A.', 'Crory, A.']",references,https://www.daera-ni.gov.uk/publications/air-pollution-and-natural-environment-research-monitoring-reports,Air pollution and the natural environment research monitoring reports,2022-12-21,['Northern Ireland Executive'],Publication,Northern Ireland Executive,overton
10.5285/ccfded8f-c8dc-4a24-8338-5af94dbfcc16,Environmental Information Data Centre (EIDC),Historic reconstructions of monthly groundwater levels for 54 UK boreholes (1891-2015),2018.0,"['Bloomfield, J.P.', 'Marchant, B.P.', 'Wang, L.']",references,https://www.gov.uk/government/publications/review-of-the-research-and-scientific-understanding-of-drought,Review of the research and scientific understanding of drought,2023-11-28,['Environment Agency'],Publication,The UK Government,overton
10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b,Environmental Information Data Centre (EIDC),Plant-pollinator interactions database for construction of potential networks,2018.0,"['Redhead, J.W.', 'Coombes, C.F.', 'Dean, H.J.', 'Dyer, R.', 'Oliver, T.H.', 'Pocock, M.J.O.', 'Rorke, S.L.', 'Vanbergen, A.J.', 'Woodcock, B.A.', 'Pywell, R.F.']",references,https://committees.parliament.uk/writtenevidence/12281/pdf/,BIO0050 - Biodiversity and Ecosystems,2020-10-08,['Environmental Audit Committee'],Publication,UK Parliament Select Committee Publications,overton
10.5285/d92c91ec-2f96-4ab2-8549-37d520dbd5fc,Environmental Information Data Centre (EIDC),Historic Standardised Groundwater level Index (SGI) for 54 UK boreholes (1891-2015),2018.0,"['Bloomfield, J.P.', 'Marchant, B.P.', 'Wang, L.']",references,https://www.gov.uk/government/publications/review-of-the-research-and-scientific-understanding-of-drought,Review of the research and scientific understanding of drought,2023-11-28,['Environment Agency'],Publication,The UK Government,overton
10.5285/d92c91ec-2f96-4ab2-8549-37d520dbd5fc,Environmental Information Data Centre (EIDC),Historic Standardised Groundwater level Index (SGI) for 54 UK boreholes (1891-2015),2018.0,"['Bloomfield, J.P.', 'Marchant, B.P.', 'Wang, L.']",references,https://committees.parliament.uk/writtenevidence/21952/pdf/,RSK0066 - Risk Assessment and Risk Planning,2021-05-20,['Risk Assessment and Risk Planning Committee'],Publication,UK Parliament Select Committee Publications,overton
10.5285/caf989a5-82d7-4db7-b6ff-c0475fdae07e,Environmental Information Data Centre (EIDC),"Snow Survey of Great Britain: transcribed data for Scotland, 1945 to 2007",2016.0,"['Spencer, M.']",references,https://www.climatexchange.org.uk/projects/snow-cover-and-climate-change-in-the-cairngorms-national-park/,Snow Cover and Climate Change in the Cairngorms National Park,2019-12-02,"['Alessandro Gimona, James Hutton Institute', 'Mike Spencer, James Hutton Institute', 'Jonathan Ball, James Hutton Institute', 'Rebekka Artz, James Hutton Institute', 'Mike Rivington, James Hutton Institute', 'Douglas Wardell-Johnson, James Hutton Institute']",Publication,ClimateXChange,overton
10.5285/70b5cdda-72df-4007-b10e-d75b4046e603,Environmental Information Data Centre (EIDC),Structure and composition of woodlands across Mozambique,2017.0,"['Woollen, E.', 'Ryan, C.M.', 'Nhaduco, O.', 'Daude, I.A.', 'Manguiao, A.A.', 'Da Costa, A.A.', 'Lisboa, S.N.', 'Junior, J.F.', 'Mutemba, L.', 'Pais, A.', 'Zavale, M.', 'Cumbula, S.', 'Xerinda, H.', 'Buque, H.', 'Meneses, D.', 'Rodrigues, C.', 'Mário, A.M.', 'Ribeiro, N.', 'Domingos, L.P.', 'Mbandze, A.', 'Stedham, R.', 'Jennings, P.']",references,https://unfccc.int/documents/632915,"Call for input 2023 - Issues included in the annotated agenda and related annexes of the eighth meeting of the Article 6.4 Supervisory Body-Berkeley Carbon Trading Project, UC",2023-10-30,['United Nations Framework Convention on Climate Change'],Scholarly article,United Nations Framework Convention on Climate Change,overton
10.5285/33604ea0-c238-4488-813d-0ad9ab7c51ca,Environmental Information Data Centre (EIDC),Gridded estimates of daily and monthly areal rainfall for the United Kingdom (1890-2015) [CEH-GEAR],2016.0,"['Tanguy, M.', 'Dixon, H.', 'Prosdocimi, I.', 'Morris, D.G.', 'Keller, V.D.J.']",references,https://www.gov.uk/government/publications/meeting-our-future-water-needs-a-national-framework-for-water-resources,Meeting our future water needs: a national framework for water resources,2020-03-16,['Environment Agency'],Publication,The UK Government,overton
