data_Publisher,data_doi,data_Title,data_Authors,relation_type_id,publication_doi,publication_type,publication_title,publication_authors,publication_date,citation_event_source,PubCitationStr,data_doi_url,publication_doi_url,publicationYear
Polar Data Centre (PDC),10.5285/a5174472-204d-45d4-862c-3befc32b52ca,"Arrival weights of Macaroni penguins at Bird Island, from 1988 to 2020","['Trathan, Philip', 'Waluda, Claire', 'Ratcliffe, Norman']",references,10.5285/85356871-55ee-4b92-a9e8-9b370c843936,Dataset,Info not given,Info not given,Info not given,CrossRef,"Trathan, P., Waluda, C. & Ratcliffe, N. (2021) Fledging weights of Macaroni penguin chicks from a colony at Fairy Point, Bird Island, from 1989 to 2020. https://doi.org/10.5285/85356871-55EE-4B92-A9E8-9B370C843936
",doi.org/10.5285/a5174472-204d-45d4-862c-3befc32b52ca,doi.org/10.5285/85356871-55ee-4b92-a9e8-9b370c843936,2021
Polar Data Centre (PDC),10.5285/a5174472-204d-45d4-862c-3befc32b52ca,"Arrival weights of Macaroni penguins at Bird Island, from 1988 to 2020","['Trathan, Philip', 'Waluda, Claire', 'Ratcliffe, Norman']",references,10.5285/1a266e7b-ef8d-4db7-8e7c-155be21d17cd,Dataset,Info not given,Info not given,Info not given,CrossRef,"Trathan, P., Waluda, C. & Ratcliffe, N. (2021) Breeding success of Macaroni penguins at Bird Island, South Georgia, from 1982 to 2020. https://doi.org/10.5285/1A266E7B-EF8D-4DB7-8E7C-155BE21D17CD
",doi.org/10.5285/a5174472-204d-45d4-862c-3befc32b52ca,doi.org/10.5285/1a266e7b-ef8d-4db7-8e7c-155be21d17cd,2021
Polar Data Centre (PDC),10.5285/a5174472-204d-45d4-862c-3befc32b52ca,"Arrival weights of Macaroni penguins at Bird Island, from 1988 to 2020","['Trathan, Philip', 'Waluda, Claire', 'Ratcliffe, Norman']",is-referenced-by,10.1093/icesjms/fsab092,journal-article,"Enhancing the ecosystem approach for the fishery for Antarctic krill within the complex, variable, and changing ecosystem at South Georgia","[['P N', 'Trathan'], ['S', 'Fielding'], ['P R', 'Hollyman'], ['E J', 'Murphy'], ['V', 'Warwick-Evans'], ['M A', 'Collins']]",2021-04-22,DataCite,"Trathan, P.N., Fielding, S., Hollyman, P.R., Murphy, E.J., Warwick-Evans, V. & Collins, M.A. (2021) Enhancing the ecosystem approach for the fishery for Antarctic krill within the complex, variable, and changing ecosystem at South Georgia. ed. by J. Link. ICES Journal of Marine Science 78, 2065–2081. https://doi.org/10.1093/icesjms/fsab092
",doi.org/10.5285/a5174472-204d-45d4-862c-3befc32b52ca,doi.org/10.1093/icesjms/fsab092,2021
Polar Data Centre (PDC),10.5285/85356871-55ee-4b92-a9e8-9b370c843936,"Fledging weights of Macaroni penguin chicks from a colony at Fairy Point, Bird Island, from 1989 to 2020","['Trathan, Philip', 'Waluda, Claire', 'Ratcliffe, Norman']",references,10.5285/1a266e7b-ef8d-4db7-8e7c-155be21d17cd,Dataset,Info not given,Info not given,Info not given,CrossRef,"Trathan, P., Waluda, C. & Ratcliffe, N. (2021) Breeding success of Macaroni penguins at Bird Island, South Georgia, from 1982 to 2020. https://doi.org/10.5285/1A266E7B-EF8D-4DB7-8E7C-155BE21D17CD
",doi.org/10.5285/85356871-55ee-4b92-a9e8-9b370c843936,doi.org/10.5285/1a266e7b-ef8d-4db7-8e7c-155be21d17cd,2021
Polar Data Centre (PDC),10.5285/85356871-55ee-4b92-a9e8-9b370c843936,"Fledging weights of Macaroni penguin chicks from a colony at Fairy Point, Bird Island, from 1989 to 2020","['Trathan, Philip', 'Waluda, Claire', 'Ratcliffe, Norman']",references,10.5285/a5174472-204d-45d4-862c-3befc32b52ca,Dataset,Info not given,Info not given,Info not given,CrossRef,"Trathan, P., Waluda, C. & Ratcliffe, N. (2021) Arrival weights of Macaroni penguins at Bird Island, from 1988 to 2020. https://doi.org/10.5285/A5174472-204D-45D4-862C-3BEFC32B52CA
",doi.org/10.5285/85356871-55ee-4b92-a9e8-9b370c843936,doi.org/10.5285/a5174472-204d-45d4-862c-3befc32b52ca,2021
Polar Data Centre (PDC),10.5285/85356871-55ee-4b92-a9e8-9b370c843936,"Fledging weights of Macaroni penguin chicks from a colony at Fairy Point, Bird Island, from 1989 to 2020","['Trathan, Philip', 'Waluda, Claire', 'Ratcliffe, Norman']",is-referenced-by,10.1093/icesjms/fsab092,journal-article,"Enhancing the ecosystem approach for the fishery for Antarctic krill within the complex, variable, and changing ecosystem at South Georgia","[['P N', 'Trathan'], ['S', 'Fielding'], ['P R', 'Hollyman'], ['E J', 'Murphy'], ['V', 'Warwick-Evans'], ['M A', 'Collins']]",2021-04-22,DataCite,"Trathan, P.N., Fielding, S., Hollyman, P.R., Murphy, E.J., Warwick-Evans, V. & Collins, M.A. (2021) Enhancing the ecosystem approach for the fishery for Antarctic krill within the complex, variable, and changing ecosystem at South Georgia. ed. by J. Link. ICES Journal of Marine Science 78, 2065–2081. https://doi.org/10.1093/icesjms/fsab092
",doi.org/10.5285/85356871-55ee-4b92-a9e8-9b370c843936,doi.org/10.1093/icesjms/fsab092,2021
Polar Data Centre (PDC),10.5285/c8d5a7a4-e19b-497f-b7ae-56f9a2b15a56,"Breeding success of Gentoo penguins at Bird Island, South Georgia, from 1982 to 2020","['Trathan, Philip', 'Waluda, Claire', 'Ratcliffe, Norman']",references,10.5285/8d60d83b-d880-4042-b344-42d0551e65be,Dataset,Info not given,Info not given,Info not given,CrossRef,"Trathan, P., Waluda, C. & Ratcliffe, N. (2021) Fledging weights of Gentoo penguin chicks from a colony at Johnson Cove, Bird Island, from 1989 to 2020. https://doi.org/10.5285/8D60D83B-D880-4042-B344-42D0551E65BE
",doi.org/10.5285/c8d5a7a4-e19b-497f-b7ae-56f9a2b15a56,doi.org/10.5285/8d60d83b-d880-4042-b344-42d0551e65be,2021
Polar Data Centre (PDC),10.5285/c8d5a7a4-e19b-497f-b7ae-56f9a2b15a56,"Breeding success of Gentoo penguins at Bird Island, South Georgia, from 1982 to 2020","['Trathan, Philip', 'Waluda, Claire', 'Ratcliffe, Norman']",is-referenced-by,10.1093/icesjms/fsab092,journal-article,"Enhancing the ecosystem approach for the fishery for Antarctic krill within the complex, variable, and changing ecosystem at South Georgia","[['P N', 'Trathan'], ['S', 'Fielding'], ['P R', 'Hollyman'], ['E J', 'Murphy'], ['V', 'Warwick-Evans'], ['M A', 'Collins']]",2021-04-22,DataCite,"Trathan, P.N., Fielding, S., Hollyman, P.R., Murphy, E.J., Warwick-Evans, V. & Collins, M.A. (2021) Enhancing the ecosystem approach for the fishery for Antarctic krill within the complex, variable, and changing ecosystem at South Georgia. ed. by J. Link. ICES Journal of Marine Science 78, 2065–2081. https://doi.org/10.1093/icesjms/fsab092
",doi.org/10.5285/c8d5a7a4-e19b-497f-b7ae-56f9a2b15a56,doi.org/10.1093/icesjms/fsab092,2021
Polar Data Centre (PDC),10.5285/c8d5a7a4-e19b-497f-b7ae-56f9a2b15a56,"Breeding success of Gentoo penguins at Bird Island, South Georgia, from 1982 to 2020","['Trathan, Philip', 'Waluda, Claire', 'Ratcliffe, Norman']",is-referenced-by,10.5285/f9993ee9-085f-42cf-b008-5373526b2bcf,Info not given,Info not given,Info not given,Info not given,DataCite,"Trathan, P., Waluda, C. & Ratcliffe, N. (2021) Gentoo penguin nesting chronology at Bird Island, South Georgia, from 1988 to 2019. https://doi.org/10.5285/F9993EE9-085F-42CF-B008-5373526B2BCF
",doi.org/10.5285/c8d5a7a4-e19b-497f-b7ae-56f9a2b15a56,doi.org/10.5285/f9993ee9-085f-42cf-b008-5373526b2bcf,2021
Polar Data Centre (PDC),10.5285/f9993ee9-085f-42cf-b008-5373526b2bcf,"Gentoo penguin nesting chronology at Bird Island, South Georgia, from 1988 to 2019","['Trathan, Philip', 'Waluda, Claire', 'Ratcliffe, Norman']",references,10.5285/8d60d83b-d880-4042-b344-42d0551e65be,Dataset,Info not given,Info not given,Info not given,CrossRef,"Trathan, P., Waluda, C. & Ratcliffe, N. (2021) Fledging weights of Gentoo penguin chicks from a colony at Johnson Cove, Bird Island, from 1989 to 2020. https://doi.org/10.5285/8D60D83B-D880-4042-B344-42D0551E65BE
",doi.org/10.5285/f9993ee9-085f-42cf-b008-5373526b2bcf,doi.org/10.5285/8d60d83b-d880-4042-b344-42d0551e65be,
Polar Data Centre (PDC),10.5285/f9993ee9-085f-42cf-b008-5373526b2bcf,"Gentoo penguin nesting chronology at Bird Island, South Georgia, from 1988 to 2019","['Trathan, Philip', 'Waluda, Claire', 'Ratcliffe, Norman']",references,10.5285/c8d5a7a4-e19b-497f-b7ae-56f9a2b15a56,Dataset,Info not given,Info not given,Info not given,CrossRef,"Trathan, P., Waluda, C. & Ratcliffe, N. (2021) Breeding success of Gentoo penguins at Bird Island, South Georgia, from 1982 to 2020. https://doi.org/10.5285/C8D5A7A4-E19B-497F-B7AE-56F9A2B15A56
",doi.org/10.5285/f9993ee9-085f-42cf-b008-5373526b2bcf,doi.org/10.5285/c8d5a7a4-e19b-497f-b7ae-56f9a2b15a56,
