data_Publisher,data_doi,data_Title,data_Authors,relation_type_id,publication_doi,publication_type,publication_title,publication_authors,citation_event_source,PubCitationStr
British Oceanographic Data Centre (BODC),10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f,The GEBCO_2021 Grid - a continuous terrain model of the global oceans and land.,['GEBCO Bathymetric Compilation Group 2021'],IsRelatedTo,10.3390/jmse10101414,journal-article,The Impact of the Caroline Ridge Subduction on the Geomorphological Characteristics of Major Landforms in the Yap Subduction Zone,"['Peter Sangana', 'Qin Gao', 'Zilong Li']",Scholix,"Sangana, P., Gao, Q., & Li, Z. (2022). The Impact of the Caroline Ridge Subduction on the Geomorphological Characteristics of Major Landforms in the Yap Subduction Zone. Journal of Marine Science and Engineering, 10(10), 1414. https://doi.org/10.3390/jmse10101414
"
British Oceanographic Data Centre (BODC),10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f,The GEBCO_2021 Grid - a continuous terrain model of the global oceans and land.,['GEBCO Bathymetric Compilation Group 2021'],IsRelatedTo,10.3389/feart.2021.776925,journal-article,"Trace Element and Isotope Systematics in Vent Fluids and Sulphides From Maka Volcano, North Eastern Lau Spreading Centre: Insights Into Three-Component Fluid Mixing","['Lukas Klose', 'Lukas Klose', 'Manuel Keith', 'Daniel Hafermaas', 'Charlotte Kleint', 'Charlotte Kleint', 'Charlotte Kleint', 'Wolfgang Bach', 'Wolfgang Bach', 'Alexander Diehl', 'Alexander Diehl', 'Frederike Wilckens', 'Frederike Wilckens', 'Christian Peters', 'Harald Strauss', 'Reiner Klemd', 'Robert van Geldern', 'Karsten Matthias Haase', 'Andrea Koschinsky', 'Andrea Koschinsky']",Scholix,"Klose, L., Keith, M., Hafermaas, D., Kleint, C., Bach, W., Diehl, A., Wilckens, F., Peters, C., Strauss, H., Klemd, R., van Geldern, R., Haase, K. M., & Koschinsky, A. (2021). Trace Element and Isotope Systematics in Vent Fluids and Sulphides From Maka Volcano, North Eastern Lau Spreading Centre: Insights Into Three-Component Fluid Mixing. Frontiers in Earth Science, 9. https://doi.org/10.3389/feart.2021.776925
"
British Oceanographic Data Centre (BODC),10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f,The GEBCO_2021 Grid - a continuous terrain model of the global oceans and land.,['GEBCO Bathymetric Compilation Group 2021'],IsRelatedTo,10.1093/icesjms/fsab212,journal-article,Whale depredation in the South Georgia Patagonian toothfish (Dissostichus eleginoides) fishery in the South Atlantic: a comparison of estimation methods,"['Marta Söffker', 'Christopher Darby', 'Eleanor MacLeod', 'Timothy Earl', 'Félix Massiot-Granier', 'Nico Gasco', 'Paul Tixier']",Scholix,"Earl, T., MacLeod, E., SÃ¶ffker, M., Gasco, N., Massiot-Granier, F., Tixier, P., & Darby, C. (2021). Whale depredation in the South Georgia Patagonian toothfish (Dissostichus eleginoides) fishery in the South Atlantic: a comparison of estimation methods. ICES Journal of Marine Science, 78(10), 3817â3833. https://doi.org/10.1093/icesjms/fsab212
"
British Oceanographic Data Centre (BODC),10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f,The GEBCO_2021 Grid - a continuous terrain model of the global oceans and land.,['GEBCO Bathymetric Compilation Group 2021'],IsRelatedTo,10.5194/npg-28-445-2021,journal-article,Enhanced diapycnal mixing with polarity-reversing internal solitary waves revealed by seismic reflection data,"['Kun Zhang', 'Zhongxiang Zhao', 'Haibin Song', 'Yunyan Kuang', 'Wenhao Fan', 'Yongxian Guan', 'Yi Gong']",Scholix,"Gong, Y., Song, H., Zhao, Z., Guan, Y., Zhang, K., Kuang, Y., & Fan, W. (2021). Enhanced diapycnal mixing with polarity-reversing internal solitary waves revealed by seismic reflection data. Nonlinear Processes in Geophysics, 28(3), 445â465. https://doi.org/10.5194/npg-28-445-2021
"
British Oceanographic Data Centre (BODC),10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f,The GEBCO_2021 Grid - a continuous terrain model of the global oceans and land.,['GEBCO Bathymetric Compilation Group 2021'],IsRelatedTo,10.3390/w14172729,journal-article,The Northern Adriatic Forecasting System for Circulation and Biogeochemistry: Implementation and Preliminary Results,"['Isabella Scroccaro', 'Marco Zavatarelli', 'Tomas Lovato', 'Piero Lanucara', 'Andrea Valentini']",Scholix,"Scroccaro, I., Zavatarelli, M., Lovato, T., Lanucara, P., & Valentini, A. (2022). The Northern Adriatic Forecasting System for Circulation and Biogeochemistry: Implementation and Preliminary Results. Water, 14(17), 2729. https://doi.org/10.3390/w14172729
"
British Oceanographic Data Centre (BODC),10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f,The GEBCO_2021 Grid - a continuous terrain model of the global oceans and land.,['GEBCO Bathymetric Compilation Group 2021'],IsRelatedTo,10.1007/s00227-022-04111-1,journal-article,"Long-term changes in adult size of green turtles at Aldabra Atoll and implications for clutch size, sexual dimorphism and growth rates","['Jeanne A. Mortimer', 'Jennifer Appoo', 'Bruno Bautil', 'Michael Betts', 'April J. Burt', 'Roselle Chapman', 'Jock C. Currie', 'Naomi Doak', 'Nicole Esteban', 'Anna Liljevik', 'Jourdan Terence Mahoune', 'Catherina Onezia', 'Pierre Pistorius', 'Heather Richards', 'Uzice Samedi', 'Cheryl L. Sanchez', 'Wendy Seabrook', 'Alex Underwood', 'Janske van de Crommenacker', 'Rainer von Brandis', 'Graeme C. Hays']",Scholix,"Mortimer, J. A., Appoo, J., Bautil, B., Betts, M., Burt, A. J., Chapman, R., Currie, J. C., Doak, N., Esteban, N., Liljevik, A., Mahoune, J. T., Onezia, C., Pistorius, P., Richards, H., Samedi, U., Sanchez, C. L., Seabrook, W., Underwood, A., van de Crommenacker, J., â¦ Hays, G. C. (2022). Long-term changes in adult size of green turtles at Aldabra Atoll and implications for clutch size, sexual dimorphism and growth rates. Marine Biology, 169(10). https://doi.org/10.1007/s00227-022-04111-1
"
British Oceanographic Data Centre (BODC),10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f,The GEBCO_2021 Grid - a continuous terrain model of the global oceans and land.,['GEBCO Bathymetric Compilation Group 2021'],IsRelatedTo,10.3389/fmars.2022.856992,journal-article,"Hadal Biodiversity, Habitats and Potential Chemosynthesis in the Java Trench, Eastern Indian Ocean","['Alan J. Jamieson', 'Heather A. Stewart', 'Johanna N. J. Weston', 'Patrick Lahey', 'Victor L. Vescovo']",Scholix,"Jamieson, A. J., Stewart, H. A., Weston, J. N. J., Lahey, P., & Vescovo, V. L. (2022). Hadal Biodiversity, Habitats and Potential Chemosynthesis in the Java Trench, Eastern Indian Ocean. Frontiers in Marine Science, 9. https://doi.org/10.3389/fmars.2022.856992
"
British Oceanographic Data Centre (BODC),10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f,The GEBCO_2021 Grid - a continuous terrain model of the global oceans and land.,['GEBCO Bathymetric Compilation Group 2021'],IsRelatedTo,10.1029/2022jc018995,journal-article,The Impact of Representations of Realistic Topography on Parameterized Oceanic Lee Wave Energy Flux,"['L. E. Baker', 'A. Mashayek']",Scholix,"Baker, L. E., & Mashayek, A. (2022). The Impact of Representations of Realistic Topography on Parameterized Oceanic Lee Wave Energy Flux. Journal of Geophysical Research: Oceans, 127(10). Portico. https://doi.org/10.1029/2022jc018995
"
British Oceanographic Data Centre (BODC),10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f,The GEBCO_2021 Grid - a continuous terrain model of the global oceans and land.,['GEBCO Bathymetric Compilation Group 2021'],IsRelatedTo,10.1016/j.asr.2022.08.078,journal-article,Analysis of coastal altimetry in the Mexican Caribbean,"['Daniela Palma-Lara', 'Laura Carrillo', 'Armado Trasviña-Castro', 'Oscar Reyes-Mendoza', 'Jonathan Valle-Rodríguez']",Scholix,"Palma-Lara, D., Carrillo, L., TrasviÃ±a-Castro, A., Reyes-Mendoza, O., & Valle-RodrÃ­guez, J. (2023). Analysis of coastal altimetry in the Mexican Caribbean. Advances in Space Research, 71(1), 964â974. https://doi.org/10.1016/j.asr.2022.08.078
"
British Oceanographic Data Centre (BODC),10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f,The GEBCO_2021 Grid - a continuous terrain model of the global oceans and land.,['GEBCO Bathymetric Compilation Group 2021'],IsRelatedTo,10.1029/2022jb024207,journal-article,"Earthquakes and Seismic Hazard in Southern New Caledonia, Southwest Pacific","['Shao‐Jinn Chin', 'Rupert Sutherland', 'Martha K. Savage', 'John Townend', 'Julien Collot', 'Bernard Pelletier', 'Olivier Monge', 'Finnigan Illsley‐Kemp']",Scholix,"Chin, S., Sutherland, R., Savage, M. K., Townend, J., Collot, J., Pelletier, B., Monge, O., & IllsleyâKemp, F. (2022). Earthquakes and Seismic Hazard in Southern New Caledonia, Southwest Pacific. Journal of Geophysical Research: Solid Earth, 127(12). Portico. https://doi.org/10.1029/2022jb024207
"
