relationshipType,pubTitle,pubDate,pubID,datasetDOI,datasetTitle,datasetAuthors,datasetPublisher,pubAuthors_processed,PubType
IsRelatedTo,Cosmic-Ray neutron Sensor PYthon tool (crspy): An open-source tool for the processing of cosmic-ray neutron and soil moisture data,2021-11-30,10.5194/gmd-14-7287-2021,10.5285/b5c190e4-e35d-40ea-8fbe-598da03a1185,Daily and sub-daily hydrometeorological and soil data (2013-2019) [COSMOS-UK],"['Stanley, S.', 'Antoniou, V.', 'Askquith-Ellis, A.', 'Ball, L.A.', 'Bennett, E.S.', 'Blake, J.R.', 'Boorman, D.B.', 'Brooks, M.', 'Clarke, M.', 'Cooper, H.M.', 'Cowan, N.', 'Cumming, A.', 'Evans, J.G.', 'Farrand, P.', 'Fry, M.', 'Hitt, O.E.', 'Lord, W.D.', 'Morrison, R.', 'Nash, G.V.', 'Rylett, D.', 'Scarlett, P.M.', 'Swain, O.D.', 'Szczykulska, M.', 'Thornton, J.L.', 'Trill, E.J.', 'Warwick, A.C.', 'Winterbourn, J.B.']",Environmental Information Data Centre (EIDC),"['D. Power', 'M. A. Rico-Ramirez', 'S. Desilets', 'D. Desilets', 'R. Rosolem', 'R. Rosolem']",journal-article
IsRelatedTo,Daily and sub-daily hydrometeorological and soil data (2013-2022) [COSMOS-UK],2023-01-01,10.5285/5060cc27-0b5b-471b-86eb-71f96da0c80f,10.5285/b5c190e4-e35d-40ea-8fbe-598da03a1185,Daily and sub-daily hydrometeorological and soil data (2013-2019) [COSMOS-UK],"['Stanley, S.', 'Antoniou, V.', 'Askquith-Ellis, A.', 'Ball, L.A.', 'Bennett, E.S.', 'Blake, J.R.', 'Boorman, D.B.', 'Brooks, M.', 'Clarke, M.', 'Cooper, H.M.', 'Cowan, N.', 'Cumming, A.', 'Evans, J.G.', 'Farrand, P.', 'Fry, M.', 'Hitt, O.E.', 'Lord, W.D.', 'Morrison, R.', 'Nash, G.V.', 'Rylett, D.', 'Scarlett, P.M.', 'Swain, O.D.', 'Szczykulska, M.', 'Thornton, J.L.', 'Trill, E.J.', 'Warwick, A.C.', 'Winterbourn, J.B.']",Environmental Information Data Centre (EIDC),"['Stanley, S.', 'Antoniou, V.', 'Askquith-Ellis, A.', 'Ball, L.A.', 'Bennett, E.S.', 'Blake, J.R.', 'Boorman, D.B.', 'Brooks, M.', 'Clarke, M.', 'Cooper, H.M.', 'Cowan, N.', 'Cumming, A.', 'Evans, J.G.', 'Farrand, P.', 'Fry, M.', 'Harvey, D.', 'Houghton-Carr, H.', 'Howson, T.', 'Khamis, D.', 'Lord, W.D.', 'Morrison, R.', 'Nash, G.V.', ""O'Callaghan, F."", 'Rylett, D.', 'Scarlett, P.M.', 'Smith, R.', 'Swain, O.D.', 'Szczykulska, M.', 'Teagle, S.', 'Thornton, J.L.', 'Trill, E.J.', 'Ward, H.C.', 'Warwick, A.C.', 'Winterbourn, J.B.']",dataset
IsRelatedTo,Using data assimilation to optimize pedotransfer functions using field-scale in situ soil moisture observations,2021-05-01,10.5194/hess-25-2445-2021,10.5285/b5c190e4-e35d-40ea-8fbe-598da03a1185,Daily and sub-daily hydrometeorological and soil data (2013-2019) [COSMOS-UK],"['Stanley, S.', 'Antoniou, V.', 'Askquith-Ellis, A.', 'Ball, L.A.', 'Bennett, E.S.', 'Blake, J.R.', 'Boorman, D.B.', 'Brooks, M.', 'Clarke, M.', 'Cooper, H.M.', 'Cowan, N.', 'Cumming, A.', 'Evans, J.G.', 'Farrand, P.', 'Fry, M.', 'Hitt, O.E.', 'Lord, W.D.', 'Morrison, R.', 'Nash, G.V.', 'Rylett, D.', 'Scarlett, P.M.', 'Swain, O.D.', 'Szczykulska, M.', 'Thornton, J.L.', 'Trill, E.J.', 'Warwick, A.C.', 'Winterbourn, J.B.']",Environmental Information Data Centre (EIDC),"['E. Cooper', 'E. Blyth', 'H. Cooper', 'R. Ellis', 'E. Pinnington', 'S. J. Dadson', 'S. J. Dadson']",journal-article
IsRelatedTo,Doses of neighborhood nature: The benefits for mental health of living with nature,2017-01-25,10.1093/biosci/biw173,10.5285/61f10c74-8c2c-4637-a274-5fa9b2e5ce44,UK gridded population based on Census 2011 and Land Cover Map 2007,"['Reis, S.', 'Steinle, S.', 'Carnell, E.', 'Leaver, D.', 'Vieno, M.', 'Beck, R.', 'Dragosits, U.']",Environmental Information Data Centre (EIDC),"['Kevin J. Gaston', 'Karen Anderson', 'Daniel T. C. Cox', 'Danielle F. Shanahan', 'Gavin M. Siriwardena', 'Richard A. Fuller', 'Steven Hancock', 'Kate E. Plummer', 'Hannah L. Hudson']",journal-article
IsRelatedTo,Covariation in urban birds providing cultural services or disservices and people,2018-09-01,20.500.11820/43ed5954-4600-4d05-94b6-ec3bebff62a0,10.5285/61f10c74-8c2c-4637-a274-5fa9b2e5ce44,UK gridded population based on Census 2011 and Land Cover Map 2007,"['Reis, S.', 'Steinle, S.', 'Carnell, E.', 'Leaver, D.', 'Vieno, M.', 'Beck, R.', 'Dragosits, U.']",Environmental Information Data Centre (EIDC),"['Cox, Daniel T. C.', 'Hudson, Hannah L.', 'Plummer, Kate E.', 'Siriwardena, Gavin M.', 'Anderson, Karen', 'Hancock, Steven', 'Devine-wright, Patrick', 'Gaston, Kevin J.']",not a doi
IsRelatedTo,Exploring the utility of grids for analysing long term population change,2017-11-01,10.1016/j.compenvurbsys.2017.07.003,10.5285/61f10c74-8c2c-4637-a274-5fa9b2e5ce44,UK gridded population based on Census 2011 and Land Cover Map 2007,"['Reis, S.', 'Steinle, S.', 'Carnell, E.', 'Leaver, D.', 'Vieno, M.', 'Beck, R.', 'Dragosits, U.']",Environmental Information Data Centre (EIDC),"['P. Williamson', 'Gemma Catney', 'Christopher D. Lloyd', 'Nick Bearman']",journal-article
IsRelatedTo,Improved Density-Based Spatio--Textual Clustering on Social Media,2018-06-14,10.48550/arxiv.1806.05522,10.5285/61f10c74-8c2c-4637-a274-5fa9b2e5ce44,UK gridded population based on Census 2011 and Land Cover Map 2007,"['Reis, S.', 'Steinle, S.', 'Carnell, E.', 'Leaver, D.', 'Vieno, M.', 'Beck, R.', 'Dragosits, U.']",Environmental Information Data Centre (EIDC),"['Nguyen, Minh D.', 'Shin, Won-Yong']",article
IsRelatedTo,The view from above: the relevance of shared aerial drone videos for destination marketing,2019-02-15,10.1080/10548408.2019.1575787,10.5285/61f10c74-8c2c-4637-a274-5fa9b2e5ce44,UK gridded population based on Census 2011 and Land Cover Map 2007,"['Reis, S.', 'Steinle, S.', 'Carnell, E.', 'Leaver, D.', 'Vieno, M.', 'Beck, R.', 'Dragosits, U.']",Environmental Information Data Centre (EIDC),"['James Kennell', 'Alastair M. Morrison', 'Miroslav D. Vujičić', 'Uglješa Stankov']",journal-article
IsRelatedTo,UK gridded population 2011 based on Census 2011 and Land Cover Map 2015,2017-01-01,10.5285/0995e94d-6d42-40c1-8ed4-5090d82471e1,10.5285/61f10c74-8c2c-4637-a274-5fa9b2e5ce44,UK gridded population based on Census 2011 and Land Cover Map 2007,"['Reis, S.', 'Steinle, S.', 'Carnell, E.', 'Leaver, D.', 'Vieno, M.', 'Beck, R.', 'Dragosits, U.']",Environmental Information Data Centre (EIDC),"['Reis, S.', 'Liska, T.', 'Steinle, S.', 'Carnell, E.', 'Leaver, D.', 'Roberts, E.', 'Vieno, M.', 'Beck, R.', 'Dragosits, U.']",dataset
IsRelatedTo,Skewed contributions of individual trees to indirect nature experiences,2019-05-01,10.1016/j.landurbplan.2019.01.008,10.5285/61f10c74-8c2c-4637-a274-5fa9b2e5ce44,UK gridded population based on Census 2011 and Land Cover Map 2007,"['Reis, S.', 'Steinle, S.', 'Carnell, E.', 'Leaver, D.', 'Vieno, M.', 'Beck, R.', 'Dragosits, U.']",Environmental Information Data Centre (EIDC),[],journal-article
