pub_title,pub_authors,pub_date,pub_doi,relation_type,data_doi
The UK Centre for Polar Observation and Modelling (CPOM) (SDY0027),"['Science, Innovation and Technology Committee']",2025-07-09,https://committees.parliament.uk/writtenevidence/141600/pdf/,references,10.5285/77b64c55-7166-4a06-9def-2e400398e452
AR6 Climate Change 2021: The Physical Science Basis,['IPCC'],2021-08-01,https://www.ipcc.ch/report/sixth-assessment-report-working-group-i/,references,10.5285/77b64c55-7166-4a06-9def-2e400398e452
"AR6 Climate Change 2022: Impacts, Adaptation and Vulnerability",['IPCC'],2022-02-01,https://www.ipcc.ch/report/sixth-assessment-report-working-group-ii/,references,10.5285/76a29c5b55204b66a40308fc2ba9cdb3
Public Notice – Adjudicative Application Posted,['Province of Nova Scotia'],2022-02-15,https://novascotia.ca/fish/aquaculture/public-information/public-notice/Application-Posted-AQ1449-1450-1451-1452.pdf,references,10.5285/836f016a-33be-6ddc-e053-6c86abc0788e
Marine geohazards: Safeguarding society and the Blue Economy from a hidden threat,['European Marine Board'],2022-01-06,https://www.marineboard.eu/publications/marine-geohazards-safeguarding-society-and-blue-economy-hidden-threat,references,10.5285/836f016a-33be-6ddc-e053-6c86abc0788e
Supplement to the biophysical and ecological overview for Southampton Island (SI) EBSA to include additional areas within the Southampton Island area of interest (AOI).: Fs70-7/2020-055E-PDF Publications - Canada.ca,"['Canadian Science Advisory Secretariat, issuing body.', 'Canada Department of Fisheries and Oceans Ontario and Prairie Region, issuing body.']",2020-12-01,http://publications.gc.ca/site/eng/9.895680/publication.html,references,10.5285/836f016a-33be-6ddc-e053-6c86abc0788e
Maritimes Region fisheries atlas : catch weight landings mapping (2014-2018) on a hexagon grid / by Kasia Rozalska and Scott Coffen-Smout.: Fs97-6/3373E-PDF Publications - Canada.ca,"['Canada Department of Fisheries and Oceans, issuing body', 'Bedford Institute of Oceanography, issuing body']",2020-01-01,http://publications.gc.ca/site/eng/9.886934/publication.html,references,10.5285/836f016a-33be-6ddc-e053-6c86abc0788e
Living England 2022-23,['Biodiversity and Ecosystem Evidence Programme'],2024-08-29,http://cdm21006.contentdm.oclc.org/cdm/ref/collection/p21006coll3/id/21259,references,10.5285/f7ef2dc5-2bce-4436-8f65-90f7a99acff2
Joint Nature Conservation Committee (NIT0025),['Environment and Climate Change Committee'],2025-03-20,https://committees.parliament.uk/writtenevidence/138903/pdf/,references,10.5285/8c5d9e38-0244-4a39-8600-a85513a6fecf
Mitigating climate change impacts on the water quality of Scottish standing waters | CREW | Scotland's Centre of Expertise for Waters,['Center of Expertise for Waters'],2024-03-20,https://www.crew.ac.uk/publication/mitigating-climate-change-phase-2,references,10.5285/9116e565-2c0a-455b-9c68-558fdd9179ad
Assessing climate change impacts on the water quality of Scottish standing waters | CREW | Scotland's Centre of Expertise for Waters,['Center of Expertise for Waters'],2022-04-25,https://www.crew.ac.uk/publication/assessing-climate-change-impacts-water-quality-scottish-standing-waters,references,10.5285/9116e565-2c0a-455b-9c68-558fdd9179ad
Climate Change 2021: The Physical Science Basis,['Ministry of Environmental Affairs'],2022-07-25,https://soer.environment.gov.za/soer/UploadLibraryImages/UploadDocuments/200123104451_working%20group%20i.pdf,references,10.5285/76ebdc0b-0eed-4f70-b89e-55e606bcd568
Climate Change 2021 : the physical science basis : Working Group I Technical Support Unit,['United Nations'],2021-01-01,https://digitallibrary.un.org/record/4019737?ln=en,references,10.5285/76ebdc0b-0eed-4f70-b89e-55e606bcd568
The potential of ecological and epidemiological models to inform assessment and mitigation of biosecurity risks arising from large scale planting,['Plant Health Centre'],2021-10-01,https://www.planthealthcentre.scot/publications/potential-ecological-and-epidemiological-models-inform-assessment-and-mitigation,references,10.5285/29726cda-09f5-4661-8fd4-ddaa5555466a
"Physical oceanographic conditions on the Newfoundland and Labrador Shelf during 2024 / Jonathan Coyne, Frédéric Cyr, Steve Snook, Charlie Bishop, Peter S. Galbraith, Jean-Luc Shaw, Nancy Chen, and Guoqi Han.: Fs97-18/401E-PDF Publications - Canada.ca","['Canada Department of Fisheries and Oceans, issuing body.']",2025-01-01,http://publications.gc.ca/site/eng/9.953193/publication.html,references,10.5285/f98b053b-0cbc-6c23-e053-6c86abc0af7b
Ocean and coastal ecosystem extent : data product specifications / by Jessica Andrews.: CS16-510/2024-5E-PDF Publications - Canada.ca,"['Statistics Canada, issuing body.']",2024-12-16,http://publications.gc.ca/site/eng/9.945402/publication.html,references,10.5285/f98b053b-0cbc-6c23-e053-6c86abc0af7b
Scenarios for Offshore Wind Development in Brazil,"['World Bank', 'Infra LCR Energy 1 (ILCE1)']",2024-07-19,https://hdl.handle.net/10986/41911,references,10.5285/f98b053b-0cbc-6c23-e053-6c86abc0af7b
"Physical oceanographic conditions on the Newfoundland and Labrador Shelf during 2023 / by Frédéric Cyr, Jonathan Coyne, Steve Snook, Charlie Bishop, Peter S. Galbraith, Nancy Chen and Guoqi Han.: Fs97-18/382E-PDF Publications - Canada.ca","['Canada Department of Fisheries and Oceans, issuing body.']",2024-01-01,http://publications.gc.ca/site/eng/9.940647/publication.html,references,10.5285/f98b053b-0cbc-6c23-e053-6c86abc0af7b
Managing permanent grasslands for carbon sequestration in Scottish soils,"['Joseph Oyesiku-Blakemore, University of Aberdeen', 'Marta Dondini']",2022-07-12,https://www.climatexchange.org.uk/projects/managing-permanent-grasslands-for-carbon-sequestration-in-scottish-soils/,references,10.5285/b745e7b1-626c-4ccc-ac27-56582e77b900
Assessing climate change impacts on the water quality of Scottish standing waters | CREW | Scotland's Centre of Expertise for Waters,['Center of Expertise for Waters'],2022-04-25,https://www.crew.ac.uk/publication/assessing-climate-change-impacts-water-quality-scottish-standing-waters,references,10.5285/b745e7b1-626c-4ccc-ac27-56582e77b900
The potential for leguminous crops in Scotland,"['Jeremy Wiltshire, Ricardo Energy & Environment', 'Dave Freeman, Ricardo Energy & Environment', 'Jessie Willcocks, Ricardo Energy & Environment', 'Caroline Wood']",2021-01-06,https://www.climatexchange.org.uk/projects/the-potential-for-leguminous-crops-in-scotland/,references,10.5285/b745e7b1-626c-4ccc-ac27-56582e77b900
Managing permanent grasslands for carbon sequestration in Scottish soils,"['Joseph Oyesiku-Blakemore, University of Aberdeen', 'Marta Dondini']",2022-07-12,https://www.climatexchange.org.uk/projects/managing-permanent-grasslands-for-carbon-sequestration-in-scottish-soils/,references,10.5285/8baf805d-39ce-4dac-b224-c926ada353b7
Meeting our future water needs: a national framework for water resources,['Environment Agency'],2020-03-16,https://www.gov.uk/government/publications/meeting-our-future-water-needs-a-national-framework-for-water-resources,references,10.5285/8baf805d-39ce-4dac-b224-c926ada353b7
Moderating extremes in water availability: a review of the role of functioning wetlands | CREW | Scotland's Centre of Expertise for Waters,['Center of Expertise for Waters'],2022-03-02,https://www.crew.ac.uk/publication/moderating-extremes-water-availability-review-role-functioning-wetlands,references,10.5285/2a353d2d-c1b9-4bf7-8702-9e78910844bc
Air pollution and the natural environment research monitoring reports,['Northern Ireland Executive'],2022-12-21,https://www.daera-ni.gov.uk/publications/air-pollution-and-natural-environment-research-monitoring-reports,references,10.5285/9c87edc2-a9be-4d4c-ae86-827bfeecd20c
Review of the research and scientific understanding of drought,['Environment Agency'],2023-11-28,https://www.gov.uk/government/publications/review-of-the-research-and-scientific-understanding-of-drought,references,10.5285/ccfded8f-c8dc-4a24-8338-5af94dbfcc16
BIO0050 - Biodiversity and Ecosystems,['Environmental Audit Committee'],2020-10-08,https://committees.parliament.uk/writtenevidence/12281/pdf/,references,10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b
Review of the research and scientific understanding of drought,['Environment Agency'],2023-11-28,https://www.gov.uk/government/publications/review-of-the-research-and-scientific-understanding-of-drought,references,10.5285/d92c91ec-2f96-4ab2-8549-37d520dbd5fc
RSK0066 - Risk Assessment and Risk Planning,['Risk Assessment and Risk Planning Committee'],2021-05-20,https://committees.parliament.uk/writtenevidence/21952/pdf/,references,10.5285/d92c91ec-2f96-4ab2-8549-37d520dbd5fc
Snow Cover and Climate Change in the Cairngorms National Park,"['Mike Rivington, James Hutton Institute', 'Mike Spencer, James Hutton Institute', 'Alessandro Gimona, James Hutton Institute', 'Rebekka Artz, James Hutton Institute', 'Douglas Wardell-Johnson, James Hutton Institute', 'Jonathan Ball, James Hutton Institute']",2019-12-02,https://www.climatexchange.org.uk/projects/snow-cover-and-climate-change-in-the-cairngorms-national-park/,references,10.5285/caf989a5-82d7-4db7-b6ff-c0475fdae07e
"Call for input 2023 - Issues included in the annotated agenda and related annexes of the eighth meeting of the Article 6.4 Supervisory Body-Berkeley Carbon Trading Project, UC",['United Nations Framework Convention on Climate Change'],2023-10-30,https://unfccc.int/documents/632915,references,10.5285/70b5cdda-72df-4007-b10e-d75b4046e603
Meeting our future water needs: a national framework for water resources,['Environment Agency'],2020-03-16,https://www.gov.uk/government/publications/meeting-our-future-water-needs-a-national-framework-for-water-resources,references,10.5285/33604ea0-c238-4488-813d-0ad9ab7c51ca
Economic potential of energy crops,"['Fiona Dowson, Ricardo plc', 'Amy Leake, Ricardo plc', 'Laura Harpham, Ricardo plc', 'Jessie Willcocks, Ricardo plc', 'Eleanor Peters, Ricardo plc', 'Tayla David, Ricardo plc', 'Judith Bates, Ricardo plc', 'Caroline Wood, Ricardo plc']",2025-01-13,https://www.climatexchange.org.uk/projects/economic-potential-of-energy-crops/,references,10.5285/ee9ab43d-a4fe-4e73-afd5-cd4fc4c82556
The potential for leguminous crops in Scotland,"['Jeremy Wiltshire, Ricardo Energy & Environment', 'Dave Freeman, Ricardo Energy & Environment', 'Jessie Willcocks, Ricardo Energy & Environment', 'Caroline Wood']",2021-01-06,https://www.climatexchange.org.uk/projects/the-potential-for-leguminous-crops-in-scotland/,references,10.5285/ee9ab43d-a4fe-4e73-afd5-cd4fc4c82556
Perennial energy crops and their potential in Scotland: evidence review,"['Gareth Martin, Ricardo Energy & Environment', 'Leo Ingvorsen, Ricardo Energy & Environment', 'Jessie Willcocks, Ricardo Energy & Environment', 'Jeremy Wiltshire, Ricardo Energy & Environment', 'Judith Bates, Ricardo Energy & Environment', 'Becky Jenkins, Ricardo Energy & Environment', 'Tom Priestley, Ricardo Energy & Environment', 'Helen McKay, Forest Research', 'Steve Croxton, Uniper']",2020-12-17,https://www.climatexchange.org.uk/projects/perennial-energy-crops-and-their-potential-in-scotland-evidence-review/,references,10.5285/ee9ab43d-a4fe-4e73-afd5-cd4fc4c82556
Lignes directrices pour l’élaboration d’un indicateur de biodiversité des habitats agricoles propre à l’OCDE,"['Petra Dieker', 'Wendy J Fjellstad', 'Felix Herzog', 'Jussi Lankoski', 'Ulrike Bayr', 'Kelly Cobourn']",2023-09-01,https://dx.doi.org/https://doi.org/10.1787/e72d9f28-fr,references,10.5285/fd6ae272-aeb5-4573-8e8a-7ccfae64f506
Guidelines for the development of an OECD farmland habitat biodiversity indicator,"['Jussi Lankoski', 'Kelly Cobourn']",2023-07-11,https://dx.doi.org/https://doi.org/10.1787/09d45d55-en,references,10.5285/fd6ae272-aeb5-4573-8e8a-7ccfae64f506
Nutrients Action Programme Implementation Report for 2020 – 2023,['Northern Ireland Executive'],2024-07-01,https://www.daera-ni.gov.uk/nutrients-action-programme-implementation-report-2020-2023,references,10.5285/f3310fe1-a6ea-4cdd-b9f6-f7fc66e4652e
Tree-Based Production Systems for Africa’s Drylands,"['Place, Frank', 'Garrity, Dennis', 'Mohan, Sid', 'Agostini, Paola', 'GEN07']",2016-08-19,https://hdl.handle.net/10986/24813,references,10.5285/d4c6029a-464c-49d0-bcc7-75757cab2b3a
Tree-Based Production Systems for Africa’s Drylands,"['Place, Frank', 'Garrity, Dennis', 'Mohan, Sid', 'Agostini, Paola']",2016-08-08,https://openknowledge.worldbank.org/handle/10986/24813,references,10.5285/d4c6029a-464c-49d0-bcc7-75757cab2b3a
Review of the Classification Framework for Ecological Status/Potential under the Water Environment (Water Framework Directive) England and Wales Regulations,['Water'],2025-05-01,http://cdm21006.contentdm.oclc.org/cdm/ref/collection/p21006coll3/id/21915,references,10.5285/2f835517-253e-4697-b774-ab6ff2c0d3da
Developing H++ climate change scenarios (Met Office),['Committee on Climate Change'],2015-10-27,https://www.theccc.org.uk/publication/met-office-for-the-asc-developing-h-climate-change-scenarios/,references,10.5285/5dc179dc-f692-49ba-9326-a6893a503f6e
Review of the research and scientific understanding of drought,['Environment Agency'],2023-11-28,https://www.gov.uk/government/publications/review-of-the-research-and-scientific-understanding-of-drought,references,10.5285/57748e4f-d0a4-4648-8a61-bd1c2066db1e
"UK rural land use archetypes - part two (UKCEH, Eunomia, and University of East Anglia) - Climate Change Committee",['Committee on Climate Change'],2025-05-21,https://www.theccc.org.uk/publication/uk-rural-land-use-archetypes-part-2/,references,10.5285/a3ff9411-3a7a-47e1-9b3e-79f21648237d
Archetypes representative of current UK rural land-use and land-management (UKCEH) - Climate Change Committee,['Committee on Climate Change'],2023-08-01,https://www.theccc.org.uk/publication/archetypes-representative-of-current-uk-rural-land-use-and-land-management-ukceh/,references,10.5285/a3ff9411-3a7a-47e1-9b3e-79f21648237d
"Quantifying the hydrological effect of woodland creation in the Camowen and Drumragh catchments, Omagh, Northern Ireland",['Northern Ireland Executive'],2018-03-14,https://www.daera-ni.gov.uk/publications/quantifying-hydrological-effect-woodland-creation-camowen-and-drumragh-catchments-omagh-northern,references,10.5285/60764028-adeb-4316-987a-14b3b21a8f9a
Report - Making the most out of England’s land,['Land Use in England Committee'],2022-12-13,https://committees.parliament.uk/publications/33168/documents/179645/default/,references,10.5285/e44ae9bd-fa32-4aab-9524-fbb11d34a20a
A guide to Forestry Commission’s sensitivity maps for woodland creation,['Forestry Commission'],2023-08-16,https://www.gov.uk/guidance/a-guide-to-forestry-commissions-sensitivity-maps-for-woodland-creation,references,10.5285/0e99d57e-1757-451f-ac9d-92fd1256f02a
"UK rural land use archetypes - part two (UKCEH, Eunomia, and University of East Anglia) - Climate Change Committee",['Committee on Climate Change'],2025-05-21,https://www.theccc.org.uk/publication/uk-rural-land-use-archetypes-part-2/,references,10.5285/9e4451f8-23d3-40dc-9302-73e30ad3dd76
Soil organic carbon sequestration: scoping study,['The Scottish Government'],2021-12-20,https://www.gov.scot/publications/scoping-study-identify-current-soil-organic-carbon-sequestration-scottish-soils/,references,10.5285/9e4451f8-23d3-40dc-9302-73e30ad3dd76
The Impacts of Tropospheric Ozone Pollution on Crop Yield: Mechanisms,['World Meteorological Organization'],2023-12-06,https://library.wmo.int/records/item/68654-the-impacts-of-tropospheric-ozone-pollution-on-crop-yield-mechanisms-quantification-and-options-for-mitigation,references,10.5285/d347ed22-2b57-4dce-88e3-31a4d00d4358
"AR6 Climate Change 2022: Impacts, Adaptation and Vulnerability",['IPCC'],2022-02-01,https://www.ipcc.ch/report/sixth-assessment-report-working-group-ii/,references,10.5285/d347ed22-2b57-4dce-88e3-31a4d00d4358
Marine Science,"['Ministry of Blue Economy, Marine Resources, Fisheries and Shipping']",2022-07-19,https://blueconomy.govmu.org/Documents/Publications/WIOJMS%20Special%20Issue.pdf,references,10.5285/a29c5465-b138-234d-e053-6c86abc040b9
The second world ocean assessment.,['United Nations'],2021-01-01,https://digitallibrary.un.org/record/3978757?ln=en,references,10.5285/a29c5465-b138-234d-e053-6c86abc040b9
Alkimos Seawater Desalination Plant,['Environmental Protection Authority'],2022-08-31,https://www.epa.wa.gov.au/sites/default/files/PER_documentation2/Appendix%20C%20-%20Alkimos%20Seawater%20Desalination%20Plant%20Marine%20Noise%20Study.pdf,references,10.5285/e0f0bb80-ab44-2739-e053-6c86abc0289c
