pub_doi,source-id,relation-type-id,data_doi,data_publisher,data_title,data_publication_year,data_authors
https://doi.org/10.1016/j.jhydrol.2017.05.018,datacite-crossref,is-referenced-by,10.5285/5f3c1a02-d5c4-4faa-9353-e8b68ce2ace2,Environmental Information Data Centre (EIDC),Grid-to-Grid model estimates of daily mean river flow for gauged catchments in Great Britain (1960 to 2015): observed driving data [MaRIUS-G2G-MORECS-daily],2018.0,"['Bell, V.A.', 'Rudd, A.C.', 'Kay, A.L.', 'Davies, H.N.']"
https://doi.org/10.1002/gdj3.55,datacite-crossref,is-referenced-by,10.5285/5f3c1a02-d5c4-4faa-9353-e8b68ce2ace2,Environmental Information Data Centre (EIDC),Grid-to-Grid model estimates of daily mean river flow for gauged catchments in Great Britain (1960 to 2015): observed driving data [MaRIUS-G2G-MORECS-daily],2018.0,"['Bell, V.A.', 'Rudd, A.C.', 'Kay, A.L.', 'Davies, H.N.']"
https://doi.org/10.1016/j.jhydrol.2017.05.018,datacite-crossref,is-referenced-by,10.5285/e911196a-b371-47b1-968c-661eb600d83b,Environmental Information Data Centre (EIDC),Grid-to-Grid model estimates of monthly mean flow and soil moisture for Great Britain (1960 to 2015): observed driving data [MaRIUS-G2G-MORECS-monthly],2018.0,"['Bell, V.A.', 'Rudd, A.C.', 'Kay, A.L.', 'Davies, H.N.']"
https://doi.org/10.1002/gdj3.55,datacite-crossref,is-referenced-by,10.5285/e911196a-b371-47b1-968c-661eb600d83b,Environmental Information Data Centre (EIDC),Grid-to-Grid model estimates of monthly mean flow and soil moisture for Great Britain (1960 to 2015): observed driving data [MaRIUS-G2G-MORECS-monthly],2018.0,"['Bell, V.A.', 'Rudd, A.C.', 'Kay, A.L.', 'Davies, H.N.']"
https://doi.org/10.1016/j.jhydrol.2017.05.018,datacite-crossref,is-referenced-by,10.5285/0ceb4f85-0bbf-49f0-ab70-cfc137ab7d4d,Environmental Information Data Centre (EIDC),Grid-to-Grid model estimates of daily mean river flow for gauged catchments in Great Britain (1891 to 2015): observed driving data [MaRIUS-G2G-Oudin-daily],2018.0,"['Bell, V.A.', 'Rudd, A.C.', 'Kay, A.L.', 'Davies, H.N.']"
https://doi.org/10.1007/s10584-018-2145-y,datacite-crossref,is-referenced-by,10.5285/0ceb4f85-0bbf-49f0-ab70-cfc137ab7d4d,Environmental Information Data Centre (EIDC),Grid-to-Grid model estimates of daily mean river flow for gauged catchments in Great Britain (1891 to 2015): observed driving data [MaRIUS-G2G-Oudin-daily],2018.0,"['Bell, V.A.', 'Rudd, A.C.', 'Kay, A.L.', 'Davies, H.N.']"
https://doi.org/10.1002/gdj3.55,datacite-crossref,is-referenced-by,10.5285/0ceb4f85-0bbf-49f0-ab70-cfc137ab7d4d,Environmental Information Data Centre (EIDC),Grid-to-Grid model estimates of daily mean river flow for gauged catchments in Great Britain (1891 to 2015): observed driving data [MaRIUS-G2G-Oudin-daily],2018.0,"['Bell, V.A.', 'Rudd, A.C.', 'Kay, A.L.', 'Davies, H.N.']"
https://doi.org/10.1016/j.jhydrol.2017.05.018,datacite-crossref,is-referenced-by,10.5285/f52f012d-9f2e-42cc-b628-9cdea4fa3ba0,Environmental Information Data Centre (EIDC),Grid-to-Grid model estimates of monthly mean flow and soil moisture for Great Britain (1891 to 2015): observed driving data [MaRIUS-G2G-Oudin-monthly],2018.0,"['Bell, V.A.', 'Rudd, A.C.', 'Kay, A.L.', 'Davies, H.N.']"
https://doi.org/10.1002/gdj3.55,datacite-crossref,is-referenced-by,10.5285/f52f012d-9f2e-42cc-b628-9cdea4fa3ba0,Environmental Information Data Centre (EIDC),Grid-to-Grid model estimates of monthly mean flow and soil moisture for Great Britain (1891 to 2015): observed driving data [MaRIUS-G2G-Oudin-monthly],2018.0,"['Bell, V.A.', 'Rudd, A.C.', 'Kay, A.L.', 'Davies, H.N.']"
https://doi.org/10.1007/s10584-018-2145-y,datacite-crossref,is-referenced-by,10.5285/f6cac471-7d92-4e6d-be8a-9f7887143058,Environmental Information Data Centre (EIDC),Grid-to-Grid model estimates of daily mean river flow for gauged catchments in Great Britain: weather@home2 (climate model) driving data [MaRIUS-G2G-WAH2-daily],2018.0,"['Bell, V.A.', 'Rudd, A.C.', 'Kay, A.L.', 'Davies, H.N.']"
